序号,来源Sheet,单元格地址,公式内容,当前计算值,值类型
3508,抖动计算,AL20,=对齐度计算!BF3,y,文本
3509,抖动计算,AM20,=对齐度计算!BG3,x,文本
3510,抖动计算,AN20,=对齐度计算!BH3,y,文本
3511,抖动计算,AO20,=对齐度计算!BI3,x,文本
3512,抖动计算,AP20,=对齐度计算!BJ3,y,文本
3513,抖动计算,AQ20,=对齐度计算!AQ3,x,文本
3514,抖动计算,AR20,=对齐度计算!AR3,y,文本
3515,抖动计算,AS20,=对齐度计算!AS3,x,文本
3516,抖动计算,AT20,=对齐度计算!AT3,y,文本
3517,抖动计算,AU20,=对齐度计算!AU3,x,文本
3518,抖动计算,AV20,=对齐度计算!AV3,y,文本
3519,抖动计算,AW20,=对齐度计算!AW3,x,文本
3520,抖动计算,AX20,=对齐度计算!AX3,y,文本
3521,抖动计算,AY20,=对齐度计算!AY3,x,文本
3522,抖动计算,AZ20,=对齐度计算!AZ3,y,文本
3523,抖动计算,BA20,=对齐度计算!BA3,x,文本
3524,抖动计算,BB20,=对齐度计算!BB3,y,文本
3525,抖动计算,BC20,=对齐度计算!BC3,x,文本
3526,抖动计算,BD20,=对齐度计算!BD3,y,文本
3527,抖动计算,BE20,=对齐度计算!BE3,x,文本
3528,抖动计算,BF20,=对齐度计算!BF3,y,文本
3529,抖动计算,BG20,=对齐度计算!BG3,x,文本
3530,抖动计算,BH20,=对齐度计算!BH3,y,文本
3531,抖动计算,BI20,=对齐度计算!BI3,x,文本
3532,抖动计算,BJ20,=对齐度计算!BJ3,y,文本
3533,抖动计算,BK20,=对齐度计算!AQ3,x,文本
3534,抖动计算,BL20,=对齐度计算!AR3,y,文本
3535,抖动计算,BM20,=对齐度计算!AS3,x,文本
3536,抖动计算,BN20,=对齐度计算!AT3,y,文本
3537,抖动计算,BO20,=对齐度计算!AU3,x,文本
3538,抖动计算,BP20,=对齐度计算!AV3,y,文本
3539,抖动计算,BQ20,=对齐度计算!AW3,x,文本
3540,抖动计算,BR20,=对齐度计算!AX3,y,文本
3541,抖动计算,BS20,=对齐度计算!AY3,x,文本
3542,抖动计算,BT20,=对齐度计算!AZ3,y,文本
3543,抖动计算,BU20,=对齐度计算!BA3,x,文本
3544,抖动计算,BV20,=对齐度计算!BB3,y,文本
3545,抖动计算,BW20,=对齐度计算!BC3,x,文本
3546,抖动计算,BX20,=对齐度计算!BD3,y,文本
3547,抖动计算,BY20,=对齐度计算!BE3,x,文本
3548,抖动计算,BZ20,=对齐度计算!BF3,y,文本
3549,抖动计算,CA20,=对齐度计算!BG3,x,文本
3550,抖动计算,CB20,=对齐度计算!BH3,y,文本
3551,抖动计算,CC20,=对齐度计算!BI3,x,文本
3552,抖动计算,CD20,=对齐度计算!BJ3,y,文本
3553,抖动计算,A21,"=LEFT(初始输入!B66, FIND(""-"", 初始输入!B66) - 1)",FAN,文本
3554,抖动计算,B21,"=RIGHT(初始输入!B66, LEN(初始输入!B66) - FIND(""-"", 初始输入!B66))",ALT,文本
3555,抖动计算,C21,"=IF(OR(C$19=""TEN"",D$19=""TEN""),$T$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP4/180*PI()),对齐度计算!AQ4)",64.5,数值
3556,抖动计算,D21,"=IF(OR(C$19=""TEN"",D$19=""TEN""),$U$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP4/180*PI()),对齐度计算!AR4)",0.0,数值
3557,抖动计算,E21,"=IF(OR(E$19=""TEN"",F$19=""TEN""),$T$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP4/180*PI()),对齐度计算!AS4)",266.78,数值
3558,抖动计算,F21,"=IF(OR(E$19=""TEN"",F$19=""TEN""),$U$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP4/180*PI()),对齐度计算!AT4)",-64.48,数值
3559,抖动计算,G21,"=IF(OR(G$19=""TEN"",H$19=""TEN""),$T$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP4/180*PI()),对齐度计算!AU4)",334.7,数值
3560,抖动计算,H21,"=IF(OR(G$19=""TEN"",H$19=""TEN""),$U$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP4/180*PI()),对齐度计算!AV4)",25.0,数值
3561,抖动计算,I21,"=IF(OR(I$19=""TEN"",J$19=""TEN""),$T$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP4/180*PI()),对齐度计算!AW4)",330.0,数值
3562,抖动计算,J21,"=IF(OR(I$19=""TEN"",J$19=""TEN""),$U$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP4/180*PI()),对齐度计算!AX4)",132.5,数值
3563,抖动计算,K21,"=IF(OR(K$19=""TEN"",L$19=""TEN""),$T$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP4/180*PI()),对齐度计算!AY4)",208.07866516715472,数值
3564,抖动计算,L21,"=IF(OR(K$19=""TEN"",L$19=""TEN""),$U$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP4/180*PI()),对齐度计算!AZ4)",13.335633694786184,数值
3565,抖动计算,M21,"=IF(OR(M$19=""TEN"",N$19=""TEN""),$T$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP4/180*PI()),对齐度计算!BA4)",,空
3566,抖动计算,N21,"=IF(OR(M$19=""TEN"",N$19=""TEN""),$U$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP4/180*PI()),对齐度计算!BB4)",,空
3567,抖动计算,O21,"=IF(OR(O$19=""TEN"",P$19=""TEN""),$T$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP4/180*PI()),对齐度计算!BC4)",,空
3568,抖动计算,P21,"=IF(OR(O$19=""TEN"",P$19=""TEN""),$U$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP4/180*PI()),对齐度计算!BD4)",,空
3569,抖动计算,Q21,"=IF(OR(Q$19=""TEN"",R$19=""TEN""),$T$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP4/180*PI()),对齐度计算!BE4)",,空
3570,抖动计算,R21,"=IF(OR(Q$19=""TEN"",R$19=""TEN""),$U$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP4/180*PI()),对齐度计算!BF4)",,空
3571,抖动计算,S21,"=IF(OR(S$19=""TEN"",T$19=""TEN""),$T$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP4/180*PI()),对齐度计算!BG4)",,空
3572,抖动计算,T21,"=IF(OR(S$19=""TEN"",T$19=""TEN""),$U$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP4/180*PI()),对齐度计算!BH4)",,空
3573,抖动计算,U21,"=IF(OR(U$19=""TEN"",V$19=""TEN""),$T$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP4/180*PI()),对齐度计算!BI4)",,空
3574,抖动计算,V21,"=IF(OR(U$19=""TEN"",V$19=""TEN""),$U$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP4/180*PI()),对齐度计算!BJ4)",,空
3575,抖动计算,W21,"=IF(OR(W$19=""TEN"",X$19=""TEN""),$AN$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP4/180*PI()),对齐度计算!AQ4)",64.5,数值
3576,抖动计算,X21,"=IF(OR(W$19=""TEN"",X$19=""TEN""),$AO$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP4/180*PI()),对齐度计算!AR4)",0.0,数值
3577,抖动计算,Y21,"=IF(OR(Y$19=""TEN"",Z$19=""TEN""),$AN$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP4/180*PI()),对齐度计算!AS4)",266.78,数值
3578,抖动计算,Z21,"=IF(OR(Y$19=""TEN"",Z$19=""TEN""),$AO$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP4/180*PI()),对齐度计算!AT4)",-64.48,数值
3579,抖动计算,AA21,"=IF(OR(AA$19=""TEN"",AB$19=""TEN""),$AN$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP4/180*PI()),对齐度计算!AU4)",334.7,数值
3580,抖动计算,AB21,"=IF(OR(AA$19=""TEN"",AB$19=""TEN""),$AO$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP4/180*PI()),对齐度计算!AV4)",25.0,数值
3581,抖动计算,AC21,"=IF(OR(AC$19=""TEN"",AD$19=""TEN""),$AN$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP4/180*PI()),对齐度计算!AW4)",330.0,数值
3582,抖动计算,AD21,"=IF(OR(AC$19=""TEN"",AD$19=""TEN""),$AO$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP4/180*PI()),对齐度计算!AX4)",132.5,数值
3583,抖动计算,AE21,"=IF(OR(AE$19=""TEN"",AF$19=""TEN""),$AN$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP4/180*PI()),对齐度计算!AY4)",208.19007488569918,数值
3584,抖动计算,AF21,"=IF(OR(AE$19=""TEN"",AF$19=""TEN""),$AO$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP4/180*PI()),对齐度计算!AZ4)",10.817656551604923,数值
3585,抖动计算,AG21,"=IF(OR(AG$19=""TEN"",AH$19=""TEN""),$AN$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP4/180*PI()),对齐度计算!BA4)",,空
3586,抖动计算,AH21,"=IF(OR(AG$19=""TEN"",AH$19=""TEN""),$AO$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP4/180*PI()),对齐度计算!BB4)",,空
3587,抖动计算,AI21,"=IF(OR(AI$19=""TEN"",AJ$19=""TEN""),$AN$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP4/180*PI()),对齐度计算!BC4)",,空
3588,抖动计算,AJ21,"=IF(OR(AI$19=""TEN"",AJ$19=""TEN""),$AO$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP4/180*PI()),对齐度计算!BD4)",,空
3589,抖动计算,AK21,"=IF(OR(AK$19=""TEN"",AL$19=""TEN""),$AN$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP4/180*PI()),对齐度计算!BE4)",,空
3590,抖动计算,AL21,"=IF(OR(AK$19=""TEN"",AL$19=""TEN""),$AO$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP4/180*PI()),对齐度计算!BF4)",,空
3591,抖动计算,AM21,"=IF(OR(AM$19=""TEN"",AN$19=""TEN""),$AN$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP4/180*PI()),对齐度计算!BG4)",,空
3592,抖动计算,AN21,"=IF(OR(AM$19=""TEN"",AN$19=""TEN""),$AO$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP4/180*PI()),对齐度计算!BH4)",,空
3593,抖动计算,AO21,"=IF(OR(AO$19=""TEN"",AP$19=""TEN""),$AN$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP4/180*PI()),对齐度计算!BI4)",,空
3594,抖动计算,AP21,"=IF(OR(AO$19=""TEN"",AP$19=""TEN""),$AO$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP4/180*PI()),对齐度计算!BJ4)",,空
3595,抖动计算,AQ21,"=IF(OR(AQ$19=""TEN"",AR$19=""TEN""),$BH$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP4/180*PI()),对齐度计算!AQ4)",64.5,数值
3596,抖动计算,AR21,"=IF(OR(AQ$19=""TEN"",AR$19=""TEN""),$BI$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP4/180*PI()),对齐度计算!AR4)",0.0,数值
3597,抖动计算,AS21,"=IF(OR(AS$19=""TEN"",AT$19=""TEN""),$BH$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP4/180*PI()),对齐度计算!AS4)",266.78,数值
3598,抖动计算,AT21,"=IF(OR(AS$19=""TEN"",AT$19=""TEN""),$BI$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP4/180*PI()),对齐度计算!AT4)",-64.48,数值
3599,抖动计算,AU21,"=IF(OR(AU$19=""TEN"",AV$19=""TEN""),$BH$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP4/180*PI()),对齐度计算!AU4)",334.7,数值
3600,抖动计算,AV21,"=IF(OR(AU$19=""TEN"",AV$19=""TEN""),$BI$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP4/180*PI()),对齐度计算!AV4)",25.0,数值
3601,抖动计算,AW21,"=IF(OR(AW$19=""TEN"",AX$19=""TEN""),$BH$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP4/180*PI()),对齐度计算!AW4)",330.0,数值
3602,抖动计算,AX21,"=IF(OR(AW$19=""TEN"",AX$19=""TEN""),$BI$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP4/180*PI()),对齐度计算!AX4)",132.5,数值
3603,抖动计算,AY21,"=IF(OR(AY$19=""TEN"",AZ$19=""TEN""),$BH$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP4/180*PI()),对齐度计算!AY4)",208.1653233223489,数值
3604,抖动计算,AZ21,"=IF(OR(AY$19=""TEN"",AZ$19=""TEN""),$BI$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP4/180*PI()),对齐度计算!AZ4)",8.269651703492134,数值
3605,抖动计算,BA21,"=IF(OR(BA$19=""TEN"",BB$19=""TEN""),$BH$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP4/180*PI()),对齐度计算!BA4)",,空
3606,抖动计算,BB21,"=IF(OR(BA$19=""TEN"",BB$19=""TEN""),$BI$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP4/180*PI()),对齐度计算!BB4)",,空
3607,抖动计算,BC21,"=IF(OR(BC$19=""TEN"",BD$19=""TEN""),$BH$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP4/180*PI()),对齐度计算!BC4)",,空
3608,抖动计算,BD21,"=IF(OR(BC$19=""TEN"",BD$19=""TEN""),$BI$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP4/180*PI()),对齐度计算!BD4)",,空
3609,抖动计算,BE21,"=IF(OR(BE$19=""TEN"",BF$19=""TEN""),$BH$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP4/180*PI()),对齐度计算!BE4)",,空
3610,抖动计算,BF21,"=IF(OR(BE$19=""TEN"",BF$19=""TEN""),$BI$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP4/180*PI()),对齐度计算!BF4)",,空
3611,抖动计算,BG21,"=IF(OR(BG$19=""TEN"",BH$19=""TEN""),$BH$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP4/180*PI()),对齐度计算!BG4)",,空
3612,抖动计算,BH21,"=IF(OR(BG$19=""TEN"",BH$19=""TEN""),$BI$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP4/180*PI()),对齐度计算!BH4)",,空
3613,抖动计算,BI21,"=IF(OR(BI$19=""TEN"",BJ$19=""TEN""),$BH$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP4/180*PI()),对齐度计算!BI4)",,空
3614,抖动计算,BJ21,"=IF(OR(BI$19=""TEN"",BJ$19=""TEN""),$BI$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP4/180*PI()),对齐度计算!BJ4)",,空
3615,抖动计算,BK21,"=IF(OR(BK$19=""TEN"",BL$19=""TEN""),$CB$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP4/180*PI()),对齐度计算!AQ4)",64.5,数值
3616,抖动计算,BL21,"=IF(OR(BK$19=""TEN"",BL$19=""TEN""),$CC$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP4/180*PI()),对齐度计算!AR4)",0.0,数值
3617,抖动计算,BM21,"=IF(OR(BM$19=""TEN"",BN$19=""TEN""),$CB$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP4/180*PI()),对齐度计算!AS4)",266.78,数值
3618,抖动计算,BN21,"=IF(OR(BM$19=""TEN"",BN$19=""TEN""),$CC$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP4/180*PI()),对齐度计算!AT4)",-64.48,数值
3619,抖动计算,BO21,"=IF(OR(BO$19=""TEN"",BP$19=""TEN""),$CB$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP4/180*PI()),对齐度计算!AU4)",334.7,数值
3620,抖动计算,BP21,"=IF(OR(BO$19=""TEN"",BP$19=""TEN""),$CC$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP4/180*PI()),对齐度计算!AV4)",25.0,数值
3621,抖动计算,BQ21,"=IF(OR(BQ$19=""TEN"",BR$19=""TEN""),$CB$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP4/180*PI()),对齐度计算!AW4)",330.0,数值
3622,抖动计算,BR21,"=IF(OR(BQ$19=""TEN"",BR$19=""TEN""),$CC$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP4/180*PI()),对齐度计算!AX4)",132.5,数值
3623,抖动计算,BS21,"=IF(OR(BS$19=""TEN"",BT$19=""TEN""),$CB$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP4/180*PI()),对齐度计算!AY4)",207.60307509256018,数值
3624,抖动计算,BT21,"=IF(OR(BS$19=""TEN"",BT$19=""TEN""),$CC$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP4/180*PI()),对齐度计算!AZ4)",2.5508173633462947,数值
3625,抖动计算,BU21,"=IF(OR(BU$19=""TEN"",BV$19=""TEN""),$CB$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP4/180*PI()),对齐度计算!BA4)",,空
3626,抖动计算,BV21,"=IF(OR(BU$19=""TEN"",BV$19=""TEN""),$CC$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP4/180*PI()),对齐度计算!BB4)",,空
3627,抖动计算,BW21,"=IF(OR(BW$19=""TEN"",BX$19=""TEN""),$CB$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP4/180*PI()),对齐度计算!BC4)",,空
3628,抖动计算,BX21,"=IF(OR(BW$19=""TEN"",BX$19=""TEN""),$CC$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP4/180*PI()),对齐度计算!BD4)",,空
3629,抖动计算,BY21,"=IF(OR(BY$19=""TEN"",BZ$19=""TEN""),$CB$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP4/180*PI()),对齐度计算!BE4)",,空
3630,抖动计算,BZ21,"=IF(OR(BY$19=""TEN"",BZ$19=""TEN""),$CC$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP4/180*PI()),对齐度计算!BF4)",,空
3631,抖动计算,CA21,"=IF(OR(CA$19=""TEN"",CB$19=""TEN""),$CB$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP4/180*PI()),对齐度计算!BG4)",,空
3632,抖动计算,CB21,"=IF(OR(CA$19=""TEN"",CB$19=""TEN""),$CC$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP4/180*PI()),对齐度计算!BH4)",,空
3633,抖动计算,CC21,"=IF(OR(CC$19=""TEN"",CD$19=""TEN""),$CB$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP4/180*PI()),对齐度计算!BI4)",,空
3634,抖动计算,CD21,"=IF(OR(CC$19=""TEN"",CD$19=""TEN""),$CC$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP4/180*PI()),对齐度计算!BJ4)",,空
3635,抖动计算,A22,"=LEFT(初始输入!I66, FIND(""-"", 初始输入!I66) - 1)",FAN,文本
3636,抖动计算,B22,"=RIGHT(初始输入!I66, LEN(初始输入!I66) - FIND(""-"", 初始输入!I66))",ALT,文本
3637,抖动计算,C22,"=IF(OR(C$19=""TEN"",D$19=""TEN""),$T$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP5/180*PI()),对齐度计算!AQ5)",63.520100069287416,数值
3638,抖动计算,D22,"=IF(OR(C$19=""TEN"",D$19=""TEN""),$U$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP5/180*PI()),对齐度计算!AR5)",11.200307459517006,数值
3639,抖动计算,E22,"=IF(OR(E$19=""TEN"",F$19=""TEN""),$T$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP5/180*PI()),对齐度计算!AS5)",266.33942483735404,数值
3640,抖动计算,F22,"=IF(OR(E$19=""TEN"",F$19=""TEN""),$U$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP5/180*PI()),对齐度计算!AT5)",-59.44420284765903,数值
3641,抖动计算,G22,"=IF(OR(G$19=""TEN"",H$19=""TEN""),$T$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP5/180*PI()),对齐度计算!AU5)",334.1120600415725,数值
3642,抖动计算,H22,"=IF(OR(G$19=""TEN"",H$19=""TEN""),$U$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP5/180*PI()),对齐度计算!AV5)",31.720184475710205,数值
3643,抖动计算,I22,"=IF(OR(I$19=""TEN"",J$19=""TEN""),$T$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP5/180*PI()),对齐度计算!AW5)",329.1492341686836,数值
3644,抖动计算,J22,"=IF(OR(I$19=""TEN"",J$19=""TEN""),$U$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP5/180*PI()),对齐度计算!AX5)",142.2242979493481,数值
3645,抖动计算,K22,"=IF(OR(K$19=""TEN"",L$19=""TEN""),$T$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP5/180*PI()),对齐度计算!AY5)",207.52870582619667,数值
3646,抖动计算,L22,"=IF(OR(K$19=""TEN"",L$19=""TEN""),$U$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP5/180*PI()),对齐度计算!AZ5)",19.62169772632906,数值
3647,抖动计算,M22,"=IF(OR(M$19=""TEN"",N$19=""TEN""),$T$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP5/180*PI()),对齐度计算!BA5)",,空
3648,抖动计算,N22,"=IF(OR(M$19=""TEN"",N$19=""TEN""),$U$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP5/180*PI()),对齐度计算!BB5)",,空
3649,抖动计算,O22,"=IF(OR(O$19=""TEN"",P$19=""TEN""),$T$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*COS(对齐度计算!$AP5/180*PI()),对齐度计算!BC5)",,空
3650,抖动计算,P22,"=IF(OR(O$19=""TEN"",P$19=""TEN""),$U$4+VLOOKUP(""TEN"", 对齐度计算!$G$4:$L$13, 6, FALSE)/2*SIN(对齐度计算!$AP5/180*PI()),对齐度计算!BD5)",,空
