序号,来源Sheet,单元格地址,公式内容,当前计算值,值类型
91,报告页,H57,=Geometry!C12, ,文本
92,报告页,K57,=Geometry!E12, ,文本
93,报告页,N57,=Geometry!G12, ,文本
94,报告页,Q57,"=IF(E57=""NA"","" "",Geometry!I12)", ,文本
95,报告页,T57,"=IF(E57=""NA"","" "",Geometry!K12)", ,文本
96,报告页,W57,=Geometry!M12, ,文本
97,报告页,C58,=Geometry!A13,9.0,数值
98,报告页,E58,=Geometry!B13,NA,文本
99,报告页,H58,=Geometry!C13, ,文本
100,报告页,K58,=Geometry!E13, ,文本
101,报告页,N58,=Geometry!G13, ,文本
102,报告页,Q58,"=IF(E58=""NA"","" "",Geometry!I13)", ,文本
103,报告页,T58,"=IF(E58=""NA"","" "",Geometry!K13)", ,文本
104,报告页,W58,=Geometry!M13, ,文本
105,报告页,C59,=Geometry!A14,10.0,数值
106,报告页,E59,=Geometry!B14,NA,文本
107,报告页,H59,=Geometry!C14, ,文本
108,报告页,K59,=Geometry!E14, ,文本
109,报告页,N59,=Geometry!G14, ,文本
110,报告页,Q59,"=IF(E59=""NA"","" "",Geometry!I14)", ,文本
111,报告页,T59,"=IF(E59=""NA"","" "",Geometry!K14)", ,文本
112,报告页,W59,=Geometry!M14, ,文本
113,报告页,J79,=初始输入!B66,FAN-ALT,文本
114,报告页,V79,=初始输入!I66,FAN-ALT,文本
115,报告页,J80,=初始输入!B68,TEN,文本
116,报告页,V80,=初始输入!I68,TEN,文本
117,报告页,J81,"=IF(AND(初始输入!C41=""Automatic"",J80=""TEN""),""±""&抖动计算!B5,""/"")",±5,文本
118,报告页,V81,"=IF(AND(初始输入!C41=""Automatic"",V80=""TEN""),""±""&抖动计算!B6,""/"")",±5,文本
119,报告页,J82,=抖动计算!S11,44.689638621130555,数值
120,报告页,V82,=初始输入!I74,42.17404047662791,数值
121,报告页,J94,=初始输入!B77,FAN-ALT,文本
122,报告页,V94,=初始输入!I77,FAN-ALT,文本
123,报告页,J95,=初始输入!B79,TEN,文本
124,报告页,V95,=初始输入!I79,TEN,文本
